"attribute"	"attribute_group"	"validity"	"ontology"	"description"
"gram stain negative"	"gram stain"	"logical"	"MICRO:0000617"	"A gram stain quality where microorganisms do not stain purple with Crystal Violet used in the Gram stain, but stain red due to uptake of the counter stain (Safranin or Fuchsin). Fuchsin is also called Magenta"
"gram stain positive"	"gram stain"	"logical"	"MICRO:0000616"	"A gram stain quality where microorganisms stain purple with crystal violet used in the Gram stain."
"gram stain variable"	"gram stain"	"logical"	"MICRO:0000618"	"Microorganisms that are not definitively stained Gram positive or Gram negative; may stain variably as either Gram positive or Gram negative."
"cell cluster"	"arrangement"	"logical"	"MICRO:0000372"	"A multicellular relationship of prokaryotic cells where cells are attached to one another end-to-end and side-to-side to form clumps or sheets after dividing. This morphology forms as a result of cell division taking place in multiple planes."
"paired cells"	"arrangement"	"logical"	"MICRO:0000369"	"A multicellular relationship of prokaryotic cells where two cells are attached to one another in pairs."
"palisade"	"arrangement"	"logical"	"MICRO:0000941"	"A multicellular prokaryotic morphological quality where cells so that their long axes are stacked parallel to one another (like in a fence)"
"rosettes"	"arrangement"	"logical"	NA	NA
"single"	"arrangement"	"logical"	"NCIT:C48440"	"Not accompanied by another or others; exclusive of anyone or anything else"
"tetrads"	"arrangement"	"logical"	"MICRO:0000374"	"A multicellular prokaryotic morphological quality where cells are attached to one another in multiples of four. Forms when cell division occurs in two planes at right angles to one another."
"unbranched"	"arrangement"	"logical"	"PATO:0000414"	"A branchiness quality inhering in a bearer by virtue of the bearer's lacking branches."
"V-branched filaments"	NA	"logical"	"MICRO:0000127"	"True-branched filaments, where an apical cell divides longitudinally, from which grows obliquely two equivalent branches."
"reverse Y-branched filaments"	"arrangement"	"logical"	"MICRO:0000128"	"True-branched filaments, where branches arise in the intercalary (medial) cells after oblique cell division at an intercalary (medial cell)."
"bent filament"	"shape"	"logical"	"MICRO:0000389"	"A filament shape where the filament has an appearance of being bent at an angle."
"clavate"	"shape"	"logical"	"PATO:0001883"	"A concave 3-D shape quality inhering in a bearer by virtue of the bearer's gradually becoming thicker towards the end."
"coccobacillus"	"shape"	"logical"	"MICRO:0000366"	"A prokaryotic cell, being a bacillus where the long axis of the cell is only slightly longer than the short axis of the cell."
"coccus"	"shape;spore shape"	"logical"	"MICRO:0000402"	"A prokaryotic cell that is spherical with no apparent long axis."
