NCBI_ID	Rank	Parent_NCBI_ID	Parent_name	Parent_rank
1087451	strain	1719	Corynebacterium pseudotuberculosis	species
1087449	species	290174	Aquimarina	genus
1087448	strain	132920	Exiguobacterium antarcticum	species
1086726	strain	954	Francisella persica	species
1085623	strain	300231	Glaciecola nitratireducens	species
1085622	genus	31957	Propionibacteriaceae	family
1085	species	1081	Rhodospirillum	genus
108486	species	1716	Corynebacterium	genus
108437	species	283	Comamonas	genus
1084	species	1612157	Pararhodospirillum	genus
1083	species	13134	Magnetospirillum	genus
1082934	strain	470	Acinetobacter baumannii	species
1082933	strain	71433	Mesorhizobium amorphae	species
1082931	strain	531813	Pelagibacterium halotolerans	species
1082851	species	283	Comamonas	genus
1081940	strain	303	Pseudomonas putida	species
1081646	strain	29519	Borreliella garinii	species
1081644	species	529881	Aquiluna	genus
1081620	species	1883	Streptomyces	genus
1081619	species	1386	Bacillus	genus
1081613	strain	1888	Streptomyces albus	species
1081606	species	1883	Streptomyces	genus
1081605	species	1883	Streptomyces	genus
1081604	species	1883	Streptomyces	genus
1081603	species	1883	Streptomyces	genus
108150	species	1754	Thermoanaerobacter	genus
1081093	strain	28901	Salmonella enterica	species
1081	genus	41295	Rhodospirillaceae	family
1080712	species	1080709	Methanomassiliicoccus	genus
1080709	genus	1577788	Methanomassiliicoccaceae	family
1080226	species	261827	Algibacter	genus
108015	species	374	Bradyrhizobium	genus
108007	species	81461	Thermanaerovibrio	genus
1080068	species	47251	Leptolyngbya	genus
1080	species	643217	Afifella	genus
108	species	107	Spirosoma	genus
1079994	species	55968	Leucobacter	genus
1079988	strain	1718	Corynebacterium glutamicum	species
1079985	strain	1969	Streptomyces chartreusis	species
1079859	species	1664383	Pseudarcicella	genus
1079800	species	379	Rhizobium	genus
1079	species	59282	Blastochloris	genus
1078905	species	1078904	Nitrosotalea	genus
1078860	genus	204434	Acidobacteriaceae	family
1078846	strain	645578	Methylovulum miyakonense	species
1078830	genus	204434	Acidobacteriaceae	family
1078829	genus	204434	Acidobacteriaceae	family
1078773	strain	80842	Herbaspirillum rubrisubalbicans	species
1078764	species	1716	Corynebacterium	genus
1078505	species	44249	Paenibacillus	genus
1078471	species	265976	Serinicoccus	genus
1078091	species	33042	Coprococcus	genus
1078090	species	33042	Coprococcus	genus
1078089	species	816	Bacteroides	genus
1078086	species	1883	Streptomyces	genus
1078085	species	651660	Paenisporosarcina	genus
1078083	species	1279	Staphylococcus	genus
107806	strain	9	Buchnera aphidicola	species
1078020	strain	1797	Mycolicibacterium thermoresistibile	species
1077976	strain	84595	Gordonia polyisoprenivorans	species
1077975	strain	36822	Gordonia rubripertincta	species
1077974	strain	263908	Gordonia effusa	species
1077972	strain	1665	Arthrobacter globiformis	species
1077285	strain	674529	Bacteroides faecis	species
1077265	genus	1077264	Chthonomonadaceae	family
1077144	strain	665550	Dietzia alimentaria	species
107709	species	178440	Opitutus	genus
1076934	strain	150055	Streptococcus lutetiensis	species
1076596	species	434	Acetobacter	genus
1076588	species	1608298	Thiolapillus	genus
1076550	species	53335	Pantoea	genus
1076524	species	75309	Rhodanobacter	genus
1076523	species	75309	Rhodanobacter	genus
1076522	species	1612198	Asinibacterium	genus
1076414	strain	79883	Sutcliffiella horikoshii	species
107637	species	416	Methylomonas	genus
107636	species	425	Methylosinus	genus
107635	species	425	Methylosinus	genus
1076	species	1073	Rhodopseudomonas	genus
1075399	species	34098	Blattabacterium	genus
1075398	genus	2236	Halobacteriaceae	family
1075397	genus	1963271	Halorubraceae	family
1075106	strain	28025	Bifidobacterium animalis	species
1075090	strain	36821	Gordonia amarae	species
1075089	strain	747	Pasteurella multocida	species
1075087	strain	813	Chlamydia trachomatis	species
1075086	strain	813	Chlamydia trachomatis	species
1075085	strain	813	Chlamydia trachomatis	species
1075	species	2818469	Fuscovulum	genus
1074919	strain	1280	Staphylococcus aureus	species
1074889	strain	39768	Blattabacterium sp. (Mastotermes darwiniensis)	species
1074493	strain	13690	Sphingobium yanoikuyae	species
1074488	strain	661979	Brachybacterium squillarum	species
1074485	strain	1719	Corynebacterium pseudotuberculosis	species
1074467	species	2767879	Companilactobacillus	genus
1074454	strain	1764	Mycobacterium avium	species
1074451	strain	28038	Latilactobacillus curvatus	species
1074252	strain	1280	Staphylococcus aureus	species
107401	species	104267	Tenacibaculum	genus
1074000	strain	535744	Cronobacter universalis	species
107400	species	407	Methylobacterium	genus
1074	species	168658	Rhodoblastus	genus
1073999	strain	1163710	Cronobacter condimenti	species
1073987	genus	1963268	Haloarculaceae	family
1073986	genus	1644056	Haloferacaceae	family
1073969	strain	2426	Teredinibacter turnerae	species
1073842	strain	189382	Rossellomorea aquimaris	species
1073574	strain	263909	Gordonia araii	species
1073571	strain	483937	Paenibacillus riograndensis	species
1073376	strain	46228	[Ruminococcus] lactaris	species
1073330	species	1883	Streptomyces	genus
107327	species	53246	Pseudoalteromonas	genus
1073250	strain	1246637	Desulfamplus magnetovallimortis	species
1073	genus	41294	Nitrobacteraceae	family
1072685	strain	1472345	Basilea psittacipulmonis	species
1072583	strain	223527	Halomonas boliviensis	species
1072467	strain	367806	Blattabacterium sp. (Blatta orientalis)	species
1072463	species	33882	Microbacterium	genus
1072459	strain	562	Escherichia coli	species
1072256	species	1716	Corynebacterium	genus
1071886	species	1301	Streptococcus	genus
1071783	strain	813	Chlamydia trachomatis	species
1071782	strain	813	Chlamydia trachomatis	species
1071781	strain	813	Chlamydia trachomatis	species
1071780	strain	813	Chlamydia trachomatis	species
1071779	strain	813	Chlamydia trachomatis	species
1071778	strain	813	Chlamydia trachomatis	species
1071777	strain	813	Chlamydia trachomatis	species
1071776	strain	813	Chlamydia trachomatis	species
1071775	strain	813	Chlamydia trachomatis	species
1071774	strain	813	Chlamydia trachomatis	species
1071773	strain	813	Chlamydia trachomatis	species
1071772	strain	813	Chlamydia trachomatis	species
1071771	strain	813	Chlamydia trachomatis	species
1071770	strain	813	Chlamydia trachomatis	species
1071769	strain	813	Chlamydia trachomatis	species
1071768	strain	813	Chlamydia trachomatis	species
1071767	strain	813	Chlamydia trachomatis	species
1071766	strain	813	Chlamydia trachomatis	species
1071765	strain	813	Chlamydia trachomatis	species
1071764	strain	813	Chlamydia trachomatis	species
1071763	strain	813	Chlamydia trachomatis	species
1071762	strain	813	Chlamydia trachomatis	species
1071761	strain	813	Chlamydia trachomatis	species
1071760	strain	813	Chlamydia trachomatis	species
1071759	strain	813	Chlamydia trachomatis	species
1071758	strain	813	Chlamydia trachomatis	species
